BreedGroup,8,10,11,12,13,14,15,16,17,18,20
Herding,0,0,0,4,2,3,2,1,0,0,0
Hound,1,2,0,4,3,4,3,1,0,0,0
Mixed,0,0,0,0,2,0,0,0,0,0,0
Non-sporting,0,0,0,0,2,1,5,1,0,0,0
Sporting,0,0,1,5,1,6,5,1,0,0,0
Terrier,0,0,0,0,1,2,5,1,0,0,1
Toy,0,0,0,1,0,4,3,1,1,2,0
Working,1,6,1,8,2,3,2,0,0,0,0
